doi,title,abstract,keyword_count,key_group_count,keyword_repetition,unique_terms,term_frecuency,rank
/doi/10.1145/3544548.3580666,Here and Now: Creating Improvisational Dance Movements with aMixedRealityMirror,"This paper explores using mixed reality (MR) mirrors for supporting improvisational dance making. Motivated by the prevalence of mirrors in dance studios and inspired by Forsythe’s Improvisation Technologies, we conducted workshops with 13 dancers and choreographers to inform the design of future MR visualisation and annotation tools for dance. The workshops involved using a prototype MR mirror as a technology probe that reveals the spatial and temporal relationships between the reflected dancing body and its surroundings during improvisation; speed dating group interviews around future design ideas; follow-up surveys and extended interviews with a digital media dance artist and a dance educator. Our findings highlight how the MR mirror enriches dancers’ temporal and spatial perception, creates multi-layered presence, and affords appropriation by dancers. We also discuss the unique place of MR mirrors in the theoretical context of dance and in the history of movement visualisation, and distil lessons for broader HCI research.",2,1,2,"{'mixed reality', 'ar'}","{'ar': 1, 'mixed reality': 1}",
10.1109/TWC.2021.3061472,On Scheduling Performance of Multi-User Full-Duplex Two-Way Relaying System With Rician Distributed RSI,"In this paper, a multi-user full-duplex (FD) two-way relaying system with decode-and-forward protocol is considered where all the nodes are assumed to be mobile and to have FD abilities. The residual self-interference (RSI) at each node is modeled as a Rician distributed random variable and the effect of mobility is incorporated by adopting the first order auto-regressive (AR) model. Then, the signal-to-interference-plus-noise-ratio (SINR) based scheduling schemes namely random scheduling, absolute channel power-based (CPB) scheduling, hybrid scheduling, and normalized CPB scheduling, are modified and the user pair selection is carried out on the basis of instantaneous channel statistics. The performance of the considered framework is analyzed for the modified scheduling schemes in terms of error probability and average rate. Next, the closed-form expressions for the symbol error probability (SEP) and average rate are derived for independent and non-identically distributed Rayleigh fading channels. Also, the numerical analysis highlighting the impact of user mobility and imperfect channel estimation on the scheduling strategies, fairness is presented. Furthermore, the impacts of the degree of traffic asymmetry, scheduling fairness, user mobility, channel estimation errors and RSI on the system performance are investigated. Numerical results are validated through the Monte Carlo simulations.",2,2,2,"{'ar', 'multi-user'}","{'ar': 1, 'multi-user': 1}",
10.1016/j.compind.2024.104108,A complex network-based approach for resilient and flexible design resource allocation in industry 5.0,"The development of Industry 5.0 focuses on customization, personalization in production, and the innovative thinking of employees, elevating the value of human contribution. Design, being an innovation-driven domain, demands greater flexibility in resource allocation. Consequently, rapidly and effectively allocating cloud service resources for personalized design tasks becomes crucial. With the emergence of the Industrial Metaverse, which blurs the boundaries between real and virtual design and manufacturing, it is gaining increasing attention. To embrace the advent of Industry 5.0 and the Industrial Metaverse, swift collaborative cloud services for design and manufacturing resources are essential. In this context, this article introduces a novel approach combining complex networks with the Non-dominated Sorting Genetic Algorithm III (NSGA-III), aimed at rapidly optimizing the dynamic allocation of distributed design resources (DRs). Initially, a multipartite graph is created from raw data and mapped to multiple bipartite graphs to identify key nodes in the network through intersection. Subsequently, these key nodes are used as reference points in the NSGA-III algorithm to achieve high-quality cloud service combinations, meeting the needs of design tasks with multiple subtasks, and related multi-objective optimization, including time, cost, reliability, maintainability, and reputation associated with the design. Finally, the Pareto service combinations obtained are used to construct a new complex network and employ the Girvan-Newman algorithm based on edge betweenness to identify community structures. In case of anomalies in the best service combination, alternative options can be swiftly searched from the identified communities, thereby enhancing the resilience of the cloud service process. Experimental results demonstrate the method's advantages in recovery and robustness, contributing significantly to the optimization of rapid cloud service allocation for DRs in the context of Industry 5.0.",2,2,2,"{'ar', 'collaborative'}","{'ar': 1, 'collaborative': 1}",
10.1007/978-3-031-50559-1_7,Universal XR Framework Architecture Based on Open-Source XR Tools,"AbstractVirtual and Augmented Reality (VR/AR) experiences are being developed by a large global community using diverse game engines and frameworks. Each research laboratory or private company is developing its own solutions, and there is a common tendency to re-implementing basic Extended Reality (XR) tools that have already been developed by other people. The overarching issue is the lack of an open-source framework that would combine a sufficient set of modules to provide common XR functionality without additional development effort. In addition, the modules must have clear semantic distinctions and be easily discoverable for both experienced and novice users. This work aims to propose the architecture of such framework based on the Unity game engine and distributed as open-source software. The envisioned solution can facilitate better collaboration and knowledge exchange between XR researchers and industry professionals by providing a common standard for sharing experiences and toolkits developed in this domain. The description is supplemented by potential use cases of the XR framework in educational and industrial scenarios.",4,1,4,"{'augmented reality', 'ar', 'vr', 'xr'}","{'vr': 1, 'augmented reality': 1, 'ar': 1, 'xr': 1}",
/doi/10.1145/3565066.3609735,User-Centered Design of a MobileAugmentedRealityHMI forVirtualStops,"Shared automated mobility on-demand (SAMOD) might be an efficient and convenient mode of transportation in the future. The new concept of a virtual stop (vStop) will coordinate the road users during its dynamic pick-up scenarios. Users need to walk to the pick-up locations in order to board the automated shuttle bus (ASB). Here, users want to find the location, which has no references in the real world, effortlessly. Then, users desire trouble-free identification of the ASB. This doctoral research project aims at designing a human-machine interface (HMI) for vStops with methods of user-centered design. The HMI displays important information in relation to the road environment using augmented reality (AR). This provides users with high rates of user experience, high rates of acceptance and low rates of cognitive workload when solving the tasks. First results show the positive perception of a vStop HMI and the advantages of AR for the selected use case. The doctoral research contributes to widespread deployment of SAMOD in the future and to the change towards more sustainable mobility solutions.",2,1,2,"{'augmented reality', 'ar'}","{'augmented reality': 1, 'ar': 1}",
10.1109/ENC60556.2023.10508661,Multidisciplinary and Interinstitutional Collaboration during the COVID-19 Pandemic: from basic research to the technological development of Exergames for Rehabilitation,"The COVID-19 pandemic significantly impacted technological research and development. The pandemic encouraged remote collaboration and data collection. Here, experiences on opportunities and challenges encountered in developing two studies on exergames for physical rehabilitation in older adults and children are analyzed and shared. The first study deals with fundamental research, where a scoping review was conducted to investigate the use of exergames in older adults. Methodological challenges included establishing a standard frame of reference, coordinating multidisciplinary efforts, and adapting to remote collaboration during the pandemic. The second study focused on developing a virtual reality video game, BioGAIT, for gait rehabilitation in pediatric patients. Methodological challenges included remote collaboration between students and researchers, limited access to resources and infrastructure, and evaluations and tests. In general, the authors show the importance of teamwork, communication, time management, and selection of work tools. They stress the need for clear goals, shared leadership, trust-building, technology-enabled remote collaboration, multidisciplinary approaches, and peer support to address coordination and motivation.",2,1,2,"{'ar', 'virtual reality'}","{'virtual reality': 1, 'ar': 1}",
10.1016/j.aei.2022.101635,A digital twin-based multidisciplinary collaborative design approach for complex engineering product development,"With the ever-increasing demand for personalized product functions, product structure becomes more and more complex. To design a complex engineering product, it involves mechanical, electrical, automation and other relevant fields, which requires a closer multidisciplinary collaborative design (MCD) and integration. However, the traditional design method lacks multidisciplinary coordination, which leads to interaction barriers between design stages and disconnection between product design and prototype manufacturing. To bridge the gap, a novel digital twin-enabled MCD approach is proposed. Firstly, the paper explores how to converge the MCD into the digital design process of complex engineering products in a cyber-physical system manner. The multidisciplinary collaborative design is divided into three parts: multidisciplinary knowledge collaboration, multidisciplinary collaborative modeling and multidisciplinary collaborative simulation, and the realization methods are proposed for each part. To be able to describe the complex product in a virtual environment, a systematic MCD framework based on the digital twin is further constructed. Integrate multidisciplinary collaboration into three stages: conceptual design, detailed design and virtual verification. The ability to verify and revise problems arising from multidisciplinary fusions in real-time minimizes the number of iterations and costs in the design process. Meanwhile, it provides a reference value for complex product design. Finally, a design case of an automatic cutting machine is conducted to reveal the feasibility and effectiveness of the proposed approach.",2,2,2,"{'ar', 'collaborative'}","{'ar': 1, 'collaborative': 1}",
10.1007/978-3-031-42622-3_14,Towards Digital Immersive Experiences for Collaborative Value Co-creation in Design,"AbstractThe metaverse, which is often described as featuring a range of technologies for Extended Reality (XR) to consume and digest information from large and complex Digital Twins (DTs), is often discussed as one of the pillars of Industry 5.0 transformation. Immersive computer-generated environments based on DT and XR are highlighted as cornerstone technologies for the future of product and system design. While they are expected to become a commodity in the engineering toolbox in the next 20 years, little is known about how to set up and implement such environments to maximize innovation and collaboration capabilities in design. This article discusses the high-level gaps that remain before the vision of the metaverse in design is realized. It further draws a roadmap, based on four major tracks, that pinpoints research areas, methodological approaches and capabilities needed to develop and realise digital immersive experiences for collaborative value co-creation in design.",3,2,3,"{'xr', 'ar', 'collaborative'}","{'ar': 1, 'xr': 1, 'collaborative': 1}",
10.1007/978-3-030-67822-7_22,An Augmented Reality Platform for Interactive Finite Element Analysis,"AbstractFinite element analysis (FEA) is usually carried out off-site and using computer desktops, i.e., computer-generated graphics, which does not promote a user’s perception and interaction and limits its applications. This chapter first gives an overview of related FEA and AR technologies and presents the feasibility of enhancing finite element structural analysis with AR technology. A novel system has been proposed which integrates sensor measurement, FEA simulation, and scientific visualization into an AR-based environment. This system can acquire input data using sensors and visualize FEA results directly on real-world objects. Several intuitive interaction methods have been developed for enhancing structural investigation and data exploration. A prototype system has been built and tested using several case studies to validate the proposed methods and evaluate the system performance.",2,1,2,"{'augmented reality', 'ar'}","{'augmented reality': 1, 'ar': 1}",
/doi/10.1145/2986416.2986431,Virtualrealitymusical instruments,"The rapid development and availability of low cost technologies has created a wide interest in virtual reality (VR), but how to design and evaluate multisensory interactions in VR remains as a challenge. In this paper, we focus on virtual reality musical instruments, present an overview of our design and evaluation guidelines, and examine historical case studies. Our main contribution is to inform the design and evaluation of the future VRMIs and consider the challenges.",2,1,2,"{'vr', 'virtual reality'}","{'vr': 1, 'virtual reality': 1}",
10.1016/j.isci.2023.106750,Collaborative and selfish mitigation strategies to tackle energy scarcity: The case of the European gas crisis,"Following the disruption of Russian natural gas flows to Europe, we investigate the impact of collaborative and selfish behavior of European countries to tackle energy scarcity and supply electricity, heat, and industrial gas to end users. We study how the operation of the European energy system will need to adapt to the disruption and identify optimal strategies to overcome the unavailability of Russian gas. Those strategies include diversifying gas imports, shifting energy generation to non-gas-based technologies, and reducing energy demands. Findings suggest that: (1) selfish behavior of Central European countries exacerbates the energy scarcity for many Southeastern European countries; (2) proactive collaborative energy savings, together with a mild winter, can fully relieve the stress of the gas shortage; (3) diversification of gas imports leads to bottlenecks in the gas network, especially in Southeastern Europe; and (4) electricity generation is mostly shifted to coal-based power plants, causing higher carbon emissions.",2,2,2,"{'ar', 'collaborative'}","{'ar': 1, 'collaborative': 1}",
10.1109/ENABL.2001.953441,WWG: a wide-area infrastructure for group work,"Group learning at Internet scale is becoming more frequent in university courses. This complex process requires support by distributed computing learning infrastructures. This paper describes the design of WWG: a distributed and decentralized infrastructure with the aim of supporting distributed group learning and team work, centered on the distribution of events, so that every participant can be notified and thus be aware of the actions, changes, progress of the groups he or she belongs to - synchronous awareness for asynchronous work. The design issues, requirements and the resulting architecture are presented. WWG is based on a multicast mechanism for event distribution with meta-information agents responsible for the dissemination and transformation of events, repository agents responsible for the storage of group information and user agents responsible for the representation of users (sources and sinks of events).",1,1,1,{'ar'},{'ar': 1},
10.1016/j.eswa.2023.122421,NRDL: Decentralized user preference learning for privacy-preserving next POI recommendation,"Predicting where a user goes next in terms of his or her previously visited points of interest (POIs) is significant for facilitating users’ daily lives. Simultaneously, it must be acknowledged that the check-in and trajectory information of the user is absolutely disclosed to others in location-based social networks when recommending the next POIs. Therefore, how to achieve an accurate next POI recommendation on the premise of privacy preservation is a critical challenge. To address this challenge, we propose decentralized user preference learning for privacy-preserving next POI recommendation, called NRDL. First, to capture the user’s next POI preference, we model the user’s real-time demand representation by POI profile, POI category, absolute time, transition time and distance between previously visited POIs, which is input into an attention-based recurrent neural network (RNN) model for embedding. Second, to perform privacy preservation, we develop a decentralized learning framework that can achieve user preference learning by raw data on each user’s side. Learning on each user’s side can make the privacy data of the user not be revealed to platforms or others, and learning from raw data can guarantee the value of check-ins and further accuracy. Finally, we evaluate the proposed model on two widely used Gowalla and Foursquare datasets, and the improvements over the state-of-the-art model are 25.00% and 9.95% at recall@1 and NDCG@1 on Gowalla as well as 22.51% and 10.59% on Foursquare.",1,1,1,{'ar'},{'ar': 1},
10.1016/j.tourman.2022.104713,"When users decide to bypass collaborative consumption platforms: The interplay of economic benefit, perceived risk, and perceived enjoyment","Bypass, which consists of intentionally circumventing a collaborative platform in the final transaction phase, represents a threat for commission-based platforms. This paper examines collaborative consumers' motivations to bypass and proposes a conceptual model explaining bypass intention. Multigroup analysis of 549 UK respondents (310 accommodation-rental users; 239 ride-sharing users) using PLS-SEM shows that perceived enjoyment and perceived risk are strong predictors of bypass intention. Our findings also confirm the significant impact of economic benefit influencing bypass decisions, both directly and indirectly, by reducing perceived risk and increasing perceived enjoyment. This study extends the literature on collaborative consumers’ bypass motivations, identifying an interplay of utilitarian motive (economic benefit), hedonic motive (perceived enjoyment), and perceived risk. It also contributes to the field of misbehaviors in hospitality and tourism, by showing empirically the link between pleasure and deviance. Finally, it helps platforms to determine the types of exchange that are more prone to bypass.",2,2,2,"{'ar', 'collaborative'}","{'ar': 1, 'collaborative': 1}",
/doi/10.1145/3290605.3300774,What Can We Learn fromAugmentedReality(AR)?,"Emerging technologies such as Augmented Reality (AR), have the potential to radically transform education by making challenging concepts visible and accessible to novices. In this project, we have designed a Hololens-based system in which collaborators are exposed to an unstructured learning activity in which they learned about the invisible physics involved in audio speakers. They learned topics ranging from spatial knowledge, such as shape of magnetic fields, to abstract conceptual knowledge, such as relationships between electricity and magnetism. We compared participants' learning, attitudes and collaboration with a tangible interface through multiple experimental conditions containing varying layers of AR information. We found that educational AR representations were beneficial for learning specific knowledge and increasing participants' self-efficacy (i.e., their ability to learn concepts in physics). However, we also found that participants in conditions that did not contain AR educational content, learned some concepts better than other groups and became more curious about physics. We discuss learning and collaboration differences, as well as benefits and detriments of implementing augmented reality for unstructured learning activities.",2,1,2,"{'augmented reality', 'ar'}","{'augmented reality': 1, 'ar': 1}",
10.1109/ROBIO.2015.7418787,Simulating and displaying of puck motion in virtual air hockey based on projective interface,"This paper shows the simulating and displaying of Puck motion in virtual Air Hockey based on projective interface for multi-users HRI Image-projective Desktop Arm Trainer (IDAT) is an upper-limb rehabilitation system for hand-eye coordination training based on projective interface. To expand more entertainment functions and realize multi-user HRI, we want to develop a virtual Air Hockey application in IDAT. To develop this application, Puck motion should be simulated correctly and displayed smoothly on the screen. There are mainly 3 problems: Data updating rate problem, virtual collision calculation and individual's hand misrecognition problem. We proposed our method into three parts corresponding to different problems. In part 1, we used multiple timers with shared memory to deal with unsynchronized data updating rate problem. In part 2, an original physical engine is designed to calculate Puck's velocity and detect virtual collision. In part 3, to deal with the individual's hand misrecognition problem, a history-based hand owner recognition algorithm is implemented to distinguish users' hands.",2,2,2,"{'ar', 'multi-user'}","{'ar': 1, 'multi-user': 1}",
/doi/10.1145/3610549.3614597,asmVR: Enhancing ASMR Tingles with Multimodal Triggers Based onVirtualReality,"Anxiety and stress have gradually become commonplace mental health problems afflicting many people worldwide. We propose asmVR, a novel approach to enhance the autonomous sensory meridian response (ASMR) experience by combining multimodal triggers including visual, auditory, tactile, and emotional stimuli. asmVR helps users enhance ASMR tingling sensations through online and offline modes, provides realistic VR environments and remote avatar ASMRtist for users, showcasing its potential for stress relief, emotion regulation, and customization. Additionally, it reveals new possibilities for the future application of VR in the field of psychotherapy.",2,1,2,"{'ar', 'vr'}","{'vr': 1, 'ar': 1}",
/doi/10.1145/3131672.3136979,A Low-Complexity Eyewear System for Direction-basedAugmentedRealityApplications,NO ABSTRACT,1,1,1,{'ar'},{'ar': 1},
10.1109/ICVR51878.2021.9483870,Research on Gesture Recognition and Interaction of Virtual Collaborative Disassembly Training,"At present, most of the virtual disassembly training systems are single person training systems, and the interaction is relatively simple, which can not reflect the real natural interactive operation, so it can not meet the needs of multi-person collaborative disassembly training of complex equipment. In order to solve this problem, research on gesture recognition and interaction technology. Based on the demand analysis of disassembly training, 5 basic gestures and 3 auxiliary gestures are designed; A gesture feature extraction method suitable for immersive virtual disassembly training environment is proposed; The one-handed interaction object model and two-handed interaction object model are proposed, and the interactive hardware experimental platform is designed to realize the multi-person cooperative operation. The research content is applied to the virtual disassembly of the manual gearbox of a car, and the operation evaluation of the virtual disassembly training is carried out. The results show that: the gesture designed meets the requirements of common virtual disassembly and assembly operations, and the gesture and interaction intention are identified accurately, which can realize the interactive operation required by disassembly and assembly, and restore the real natural interactive operation to a certain extent.",2,2,2,"{'ar', 'collaborative'}","{'ar': 1, 'collaborative': 1}",
10.1109/MCG.2005.117,Visual learning for science and engineering,"This survey looks at visualization techniques used in science and engineering education to enhance student learning and encourage underrepresented students to pursue technical degrees. This article aims to encourage faculty in science, technology, engineering, and math (STEM) disciplines to use visual methods to communicate to their students. Visual learning is an important method for exploiting students' visual senses to enhance learning and engage their interest. This methodology also has the potential to increase the number of students in STEM fields, especially of women and minority students. A visual approach to science and engineering enhances communication. This visualization revolution shows that letting scientists engage the higher cognitive parts of the brain by thinking and communicating visually improved how they performed their research.",1,1,1,{'ar'},{'ar': 1},
/doi/10.1145/3357236.3395560,Designing Mind(set) and Setting for Profound Emotional Experiences inVirtualReality,"Virtual reality (VR) has the potential to support profound emotional experiences, such as experiencing awe when virtually viewing the Earth from space. In doing so, VR can potentially both give people positive emotional experiences contributing to their overall well-being and give researchers a way to study these profound emotional experiences in a more controlled environment. Through a design refinement process, we explored the potential influence of the ""set and setting''--one's mindset and the physical and social environment--when transitioning people into and out of VR designed to support profound emotional experiences. We present our findings from a design refinement session and a case study exploring how set and setting may support the profound emotional experience of awe. We discuss common themes in user experience and trends of awe-related behavioural and introspective measures. Our results contribute to the discourse around the role of the design of set and setting in overall user experience.",3,1,3,"{'ar', 'vr', 'virtual reality'}","{'vr': 1, 'virtual reality': 1, 'ar': 1}",
10.1109/TALE56641.2023.10398392,Exploring Team-based Classroom Experiences in Virtual Reality,"Remote classrooms are increasingly taking a bigger role in student learning as the world transitions into a post-COVID era. There is hence an increasing need to explore more avenues to improve the learning experiences in such remote classrooms. To provide an initial understanding of the disparities in learning experiences between virtual reality (VR) and traditional mediums, this paper presents a study with 11 participants in team-based classroom learning tasks across three conditions - face-to-face, video conferencing and VR. The findings highlight several benefits and limitations of VR-based classrooms, e.g., the expressivity of avatars and customizability of learning environments in VR allows for a more personalized experience, but excessive interactivity sometimes lead to distractions. These findings shed light on how VR may be best designed to enhance remote classroom experiences.",3,1,3,"{'ar', 'vr', 'virtual reality'}","{'vr': 1, 'virtual reality': 1, 'ar': 1}",
