Doi,DB,Title,Abstract,keywords,Venue,Date,Terms category 1,Terms category  2,Terms 1,Terms 2
/doi/10.1145/3699746,ACM,Densor: An Intraoral Battery-Free Sensing Platform,"The mouth offers valuable insights into the condition of the human body. Yet, deploying intraoral sensors to measure oral temperature or jaw movements poses challenges in safety and acceptability. Consequently, real-world data for intraoral research is scarce. To address this gap, we leverage the widespread use of dental retainers and enhance them with Densor: an electronic sensing platform requiring only a standard smartphone for charging and data retrieval using a Near Field Communication interface. Its low power architecture enables prolonged sensing on a single charge, making it suitable for sleep studies. It can provide practitioners with feedback on treatment compliance, and is even able to detect if the user is speaking or drinking water. Densor presents an intraoral, actively powered, battery-free platform featuring multi-modal sensors and an extended lifespan.","Battery-free systems, Intraoral sensor","Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies (IMWUT), Volume 8, Issue 4",21 November 2024,900 - No match,900 - No match,[],[]
/doi/10.1145/3184558.3188729,ACM,Detect Rumor and Stance Jointly by Neural Multi-task Learning,"In recent years, an unhealthy phenomenon characterized as the massive spread of fake news or unverified information (i.e., rumors) has become increasingly a daunting issue in human society. The rumors commonly originate from social media outlets, primarily microblogging platforms, being viral afterwards by the wild, willful propagation via a large number of participants. It is observed that rumorous posts often trigger versatile, mostly controversial stances among participating users. Thus, determining the stances on the posts in question can be pertinent to the successful detection of rumors, and vice versa. Existing studies, however, mainly regard rumor detection and stance classification as separate tasks. In this paper, we argue that they should be treated as a joint, collaborative effort, considering the strong connections between the veracity of claim and the stances expressed in responsive posts. Enlightened by the multi-task learning scheme, we propose a joint framework that unifies the two highly pertinent tasks, i.e., rumor detection and stance classification. Based on deep neural networks, we train both tasks jointly using weight sharing to extract the common and task-invariant features while each task can still learn its task-specific features. Extensive experiments on real-world datasets gathered from Twitter and news portals demonstrate that our proposed framework improves both rumor detection and stance classification tasks consistently with the help of the strong inter-task connections, achieving much better performance than state-of-the-art methods.","microblog, multi-task learning, rumor detection, social media, stance classification, weight sharing",WWW '18: Companion Proceedings of the The Web Conference 2018,23 April 2018,900 - No match,2 - Complete terms,[],['collaborative']
/doi/10.1145/3637528.3671523,ACM,Residual Multi-Task Learner for Applied Ranking,"Modern e-commerce platforms rely heavily on modeling diverse user feedback to provide personalized services. Consequently, multi-task learning has become an integral part of their ranking systems. However, existing multi-task learning methods encounter two main challenges: some lack explicit modeling of task relationships, resulting in inferior performance, while others have limited applicability due to being computationally intensive, having scalability issues, or relying on strong assumptions. To address these limitations and better fit our real-world scenario, pre-rank in Shopee Search, we introduce in this paper ResFlow, a lightweight multi-task learning framework that enables efficient cross-task information sharing via residual connections between corresponding layers of task networks. Extensive experiments on datasets from various scenarios and modalities demonstrate its superior performance and adaptability over state-of-the-art methods. The online A/B tests in Shopee Search showcase its practical value in large-scale industrial applications, evidenced by a 1.29% increase in OPU (order-per-user) without additional system latency. ResFlow is now fully deployed in the pre-rank module of Shopee Search. To facilitate efficient online deployment, we propose a novel offline metric Weighted Recall@K, which aligns well with our online metric OPU, addressing the longstanding online-offline metric misalignment issue. Besides, we propose to fuse scores from the multiple tasks additively when ranking items, which outperforms traditional multiplicative fusion.","e-commerce, multi-task learning, ranking system, residual learning",KDD '24: Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,24 August 2024,900 - No match,900 - No match,[],[]
/doi/10.5555/2616606.2616798,ACM,Tightly-coupled hardware support to dynamic parallelism acceleration in embedded shared memory clusters,"Modern designs for embedded systems are increasingly embracing cluster-based architectures, where small sets of cores communicate through tightly-coupled shared memory banks and high-performance interconnections. At the same time, the complexity of modern applications requires new programming abstractions to exploit dynamic and/or irregular parallelism on such platforms. Supporting dynamic parallelism in systems which i) are resource-constrained and ii) run applications with small units of work calls for a runtime environment which has minimal overhead for the scheduling of parallel tasks. In this work, we study the major sources of overhead in the implementation of OpenMP dynamic loops, sections and tasks, and propose a hardware implementation of a generic Scheduling Engine (HWSE) which fits the semantics of the three constructs. The HWSE is designed as a tightly-coupled block to the PEs within a multi-core cluster, communicating through a shared-memory interface. This allows very fast programming and synchronization with the controlling PEs, fundamental to achieving fast dynamic scheduling, and ultimately to enable fine-grained parallelism. We prove the effectiveness of our solutions with real applications and synthetic benchmarks, using a cycle-accurate virtual platform.",,"DATE '14: Proceedings of the conference on Design, Automation & Test in Europe",24 March 2014,900 - No match,900 - No match,[],[]
/doi/10.1145/3543507.3583206,ACM,Multi-Modal Self-Supervised Learning for Recommendation,"The online emergence of multi-modal sharing platforms (e.g., TikTok, Youtube) is powering personalized recommender systems to incorporate various modalities (e.g., visual, textual and acoustic) into the latent user representations. While existing works on multi-modal recommendation exploit multimedia content features in enhancing item embeddings, their model representation capability is limited by heavy label reliance and weak robustness on sparse user behavior data. Inspired by the recent progress of self-supervised learning in alleviating label scarcity issue, we explore deriving self-supervision signals with effectively learning of modality-aware user preference and cross-modal dependencies. To this end, we propose a new Multi-Modal Self-Supervised Learning (MMSSL) method which tackles two key challenges. Specifically, to characterize the inter-dependency between the user-item collaborative view and item multi-modal semantic view, we design a modality-aware interactive structure learning paradigm via adversarial perturbations for data augmentation. In addition, to capture the effects that user’s modality-aware interaction pattern would interweave with each other, a cross-modal contrastive learning approach is introduced to jointly preserve the inter-modal semantic commonality and user preference diversity. Experiments on real-world datasets verify the superiority of our method in offering great potential for multimedia recommendation over various state-of-the-art baselines. The implementation is released at: https://github.com/HKUDS/MMSSL.","Multi-Modal Recommendation, Self-Supervised Learning",WWW '23: Proceedings of the ACM Web Conference 2023,30 April 2023,900 - No match,2 - Complete terms,[],['collaborative']
/doi/10.1145/2814576.2814729,ACM,UniDrive: Synergize Multiple Consumer Cloud Storage Services,"Consumer cloud storage (CCS) services have become popular among users for storing and synchronizing files via apps installed on their devices. A single CCS, however, has intrinsic limitations on networking performance, service reliability, and data security. To overcome these limitations, we present UniDrive, a CCS app that synergizes multiple CCSs (multi-cloud) by using only few simple public RESTful Web APIs. UniDrive follows a server-less, client-centric design, in which synchronization logic is purely implemented at client devices and all communication is conveyed through file upload and download operations. Strong consistency of the metadata is guaranteed via a quorum-based distributed mutual-exclusive lock mechanism. UniDrive improves reliability and security by judiciously distributing erasure coded files across multiple CCSs. To boost networking performance, UniDrive leverages all available clouds to maximize parallel transfer opportunities, but the key insight behind is the concept of data block over-provisioning and dynamic scheduling. This suite of techniques masks the diversified and varying network conditions of the underlying clouds, and exploits more the faster clouds via a simple yet effective in-channel probing scheme. Extensive experimental results on the global Amazon EC2 platform and a real-world trial by 272 users confirmed significantly superior and consistent sync performance of UniDrive over any single CCS.","Consumer Cloud Storage, Erasure Codes, Networking Performance, Synchronization",Middleware '15: Proceedings of the 16th Annual Middleware Conference,24 November 2015,900 - No match,900 - No match,[],[]
/doi/10.1145/3543873.3584652,ACM,Meta-Generator Enhanced Multi-Domain Recommendation,"Large-scale e-commercial platforms usually contain multiple business fields, which require industrial algorithms to characterize user intents across multiple domains. Numerous efforts have been made in user multi-domain intent modeling to achieve state-of-the-art performance. However, existing methods mainly focus on the domains having rich user information, which makes implementation to domains with sparse or rare user behavior meet with mixed success. Hence, in this paper, we propose a novel method named Meta-generator enhanced multi-Domain model (MetaDomain) to address the above issue. MetaDomain mainly includes two steps, 1) users’ multi-domain intent representation and 2) users’ multi-domain intent fusion. Specifically, in users’ multi-domain intent representation, we use the gradient information from a domain intent extractor to train the domain intent meta-generator, where the domain intent extractor has the input of users’ sequence feature and domain meta-generator has the input of users’ basic feature, hence the capability of generating users’ intent with sparse behavior. Afterward, in users’ multi-domain intent fusion, a domain graph is used to represent the high-order multi-domain connectivity. Extensive experiments have been carried out under a real-world industrial platform named Meituan. Both offline and rigorous online A/B tests under the billion-level data scale demonstrate the superiority of the proposed MetaDomain method over the state-of-the-art baselines. Furthermore comparing with the method using multi-domain sequence features, MetaDomain can reduce the serving latency by 20%. Currently, MetaDomain has been deployed in Meituan one of the largest worldwide Online-to-Offline(O2O) platforms.","Meta-Generator, Multi-Domain Learning, Recommender Systems, User Intent Cold-Start",WWW '23 Companion: Companion Proceedings of the ACM Web Conference 2023,30 April 2023,900 - No match,900 - No match,[],[]
/doi/10.1145/2591708.2591747,ACM,Assessment process for a simulation-based training environment in global software development,"Simulation has been applied in several Software Engineering fields, and is shown to be a useful method in industrial training. As part of our research work, we have used simulation to provide training in Global Software Development (GSD). We have developed a platform to strengthen GSD skills by simulating realistic settings in which learners interact with Virtual Agents of differing cultures. Thus, learners will experience multi-cultural problems and will develop specific GSD communication skills. The development of these skills must, however, be accurately assessed, bearing in mind that the training is aimed at learners with different characteristics and skills. In this paper we present an assessment process based on educational theory adapted to our simulation-based training environment. Methods to minimize the instructors' effort and tailor the assessment to specific training needs are proposed. The assessment process has been evaluated by 34 potential users. Results indicate that the assessment method yields meaningful results and proof of learning. Also that automated assessment can be achieved with minimal intervention from the instructor. Though tailored for GSD, this method could be applied to other domains, in both industry and academia.","assessment, education, global software development, simulation, training",ITiCSE '14: Proceedings of the 2014 conference on Innovation & technology in computer science education,21 June 2014,900 - No match,900 - No match,[],[]
/doi/10.1145/3604915.3608807,ACM,Multi-Relational Contrastive Learning for Recommendation,"Personalized recommender systems play a crucial role in capturing users’ evolving preferences over time to provide accurate and effective recommendations on various online platforms. However, many recommendation models rely on a single type of behavior learning, which limits their ability to represent the complex relationships between users and items in real-life scenarios. In such situations, users interact with items in multiple ways, including clicking, tagging as favorite, reviewing, and purchasing. To address this issue, we propose the Relation-aware Contrastive Learning (RCL) framework, which effectively models dynamic interaction heterogeneity. The RCL model incorporates a multi-relational graph encoder that captures short-term preference heterogeneity while preserving the dedicated relation semantics for different types of user-item interactions. Moreover, we design a dynamic cross-relational memory network that enables the RCL model to capture users’ long-term multi-behavior preferences and the underlying evolving cross-type behavior dependencies over time. To obtain robust and informative user representations with both commonality and diversity across multi-behavior interactions, we introduce a multi-relational contrastive learning paradigm with heterogeneous short- and long-term interest modeling. Our extensive experimental studies on several real-world datasets demonstrate the superiority of the RCL recommender system over various state-of-the-art baselines in terms of recommendation accuracy and effectiveness. We provide the implementation codes for the RCL model at https://github.com/HKUDS/RCL.",,RecSys '23: Proceedings of the 17th ACM Conference on Recommender Systems,14 September 2023,900 - No match,900 - No match,[],[]
/doi/10.1145/3196494.3196513,ACM,SecSAKE: Towards Secure and Efficient Outsourcing of Clinical MRI Reconstruction,"Magnetic Resonance Imaging (MRI) is a widely used technique to help form images of internal body structures for medical diagnosis. Recently, the Simultaneous Auto-calibrating and K-space Estimation (SAKE) becomes one of the most popular rapid imaging reconstruction methods to restore key information from scanned MRI data. This technique intrinsically requires a fair amount of high-resolution MRI data to accommodate the need of accurate diagnosis and imposes vast computational overhead onto resource-constrained clinics. To solve this problem, the practitioners start seeking the help of cloud computing platform to utilize its robust and economical computation power. However, the privacy concerns with outsourcing patients' private data to public cloud servers are ignited and hinder those practitioners from enjoying the benefits of cloud computing","mri, privacy-preserving, sake",ASIACCS '18: Proceedings of the 2018 on Asia Conference on Computer and Communications Security,29 May 2018,3 - Modified acrs,900 - No match,['MRI'],[]
/doi/10.1145/3709681,ACM,Dialogue Benchmark Generation from Knowledge Graphs with Cost-Effective Retrieval-Augmented LLMs,"Dialogue benchmarks are crucial in training and evaluating chatbots engaging in domain-specific conversations. Knowledge graphs (KGs) represent semantically rich and well-organized data spanning various domains, such as DBLP, DBpedia, and YAGO. Traditionally, dialogue benchmarks have been manually created from documents, neglecting the potential of KGs in automating this process. Some question-answering benchmarks are automatically generated using extensive preprocessing from KGs, but they do not support dialogue generation. This paper introduces Chatty-Gen, a novel multi-stage retrieval-augmented generation platform for automatically generating high-quality dialogue benchmarks tailored to a specific domain using a KG. Chatty-Gen decomposes the generation process into manageable stages and uses assertion rules for automatic validation between stages. Our approach enables control over intermediate results to prevent time-consuming restarts due to hallucinations. It also reduces reliance on costly and more powerful commercial LLMs. Chatty-Gen eliminates upfront processing of the entire KG using efficient query-based retrieval to find representative subgraphs based on the dialogue context. Our experiments with several real and large KGs demonstrate that C","assertion-based validation, benchmarking, conversational question answering, cost-effecive inference, graph serialization, knowledge graphs (kgs), large language models (llms), retrieval-augumented generation (rag)","Proceedings of the ACM on Management of Data (PACMMOD), Volume 3, Issue 1",11 February 2025,900 - No match,900 - No match,[],[]
/doi/10.1145/3626772.3657818,ACM,AutoDCS: Automated Decision Chain Selection in Deep Recommender Systems,"Multi-behavior recommender systems (MBRS) have been commonly deployed on real-world industrial platforms for their superior advantages in understanding user preferences and mitigating data sparsity. However, the cascade graph modeling paradigm adopted in mainstream MBRS usually assumes that users will refer to all types of behavioral knowledge they have when making decisions about target behaviors, i.e., use all types of behavioral interactions indiscriminately when modeling and predicting target behaviors for each user. We call this a full decision chain constraint and argue that it may be too strict by ignoring that different types of behavioral knowledge have varying importance for different users. In this paper, we propose a novel automated decision chain selection (AutoDCS) framework to relax this constraint, which can consider each user's unique decision dependencies and select a reasonable set of behavioral knowledge to activate for the prediction of target behavior. Specifically, AutoDCS first integrates some existing MBRS methods in a base cascade module to obtain a set of behavior-aware embeddings. Then, a bilateral matching gating mechanism is used to select an exclusive set of behaviors for the current user-item pair to form a decision chain, and the corresponding behavior-augmented embeddings are selectively activated. Subsequently, AutoDCS combines the behavior-augmented and original behavior-aware embeddings to predict the target behavior. Finally, we evaluate AutoDCS and demonstrate its effectiveness through experiments over four public multi-behavior benchmarks.","bilateral matching gate, decision chain selection, deep recommender system, multi-behavior learning",SIGIR '24: Proceedings of the 47th International ACM SIGIR Conference on Research and Development in Information Retrieval,11 July 2024,3 - Modified acrs,900 - No match,['MBRS'],[]
/doi/10.1145/2377576.2377599,ACM,DCF® a JAUS and TENA compliant agent-based framework for UAS performance evaluation,"Real-world applications for UAS teams continue to grow, and the scale and complexity of the teams is continually increasing. To reduce life cycle costs and improve T&E, there is increasing need for a generalized framework that can support the design and development of T&E approaches for multi-UAS teams and validate the feasibility of the concepts, architectures and algorithms. This challenge is most significant in the cognitive/social domains, where the development of test approaches and methodologies are difficult because of the emergent nature of behaviors in response to dynamic changes in the battlespace. Current DOD T&E capabilities and methodologies are insufficient to address these needs. Today much of the initial validation effort is done using simulations, which unfortunately very rarely capture the complexity of this problem. Current simulations rarely capture the complexity of real world effects related to net-centric communications, vehicle dynamics, distributed sensors, the physical environment (terrain), external disturbances, etc. Furthermore, very often high fidelity simulations do not scale as the number of UAS increases. On the other extreme, directly implementing hardware platforms without high resolution simulations to help refine the design induces significant risk. For large unmanned system teams, shortcomings in design decisions related to the control architecture, information flow, sensor fusion, assumptions on communication bandwidths, and robustness of the algorithms may only become apparent when deployment on several hardware platforms has been completed, resulting in a significant loss of time and resources. In response to this need, under a recently completed effort with TRMC, IAI has developed the Distributed Control Framework (DCF), an Integrated Agent-based T&E Framework for Simulated, Mixed-Model (Virtual and Live/hardware in the loop) and Live Testing of Teams of Unmanned Autonomous Systems. In recent efforts, DCF has been made JAUS compliant, and integration with TENA has been achieved. In this paper we discuss the development of this framework, details of JAUS compliance implementation and initial results of its deployment at ARDEC in Picatinny Arsenal on use cases involving teams of FireAnt Robots performing cooperative surveillance tasks.","JAUS compliance, T&E of unmanned systems, unmanned and autonomous system testing, unmanned systems teams",PerMIS '10: Proceedings of the 10th Performance Metrics for Intelligent Systems Workshop,28 September 2010,3 - Modified acrs,900 - No match,['ARDEC'],[]
/doi/10.1145/1643928.1643945,ACM,Multi-modal exploration of small artifacts: an exhibition at the Gold Museum in Bogota,"We present the iterative development and initial evaluation of a multi-modal platform for interacting with precious small artifacts from the Gold Museum in Bogota. By using a commercial haptic interface, loud speakers, and stereo displays, one can allow visitors to touch, hear, and observe in stereo those precious artifacts. We use this multi-modal interface in a novel way and in a novel context in order to provide virtual replicas that can be weighed, cleaned, and explored as if they were close to a visitor's hand. This platform is currently open to the public, and some of the lessons learned are reported in terms of usability in a real-world museum application.","Museo del Oro Colombia, haptics, multimodal booth, virtual heritage",VRST '09: Proceedings of the 16th ACM Symposium on Virtual Reality Software and Technology,18 November 2009,900 - No match,900 - No match,[],[]
/doi/10.1145/2927929.2927945,ACM,Real virtuality: a multi-user immersive platform connecting real and virtual worlds,Real Virtuality is a multi-user immersive platform combining motion capture with virtual reality (VR) headsets: users can freely move within the physical space while virtually visiting a virtual world and interacting with 3D objects or other users using the sense of touch.,"interaction, motion capture, passive haptic, virtual reality",VRIC '16: Proceedings of the 2016 Virtual Reality International Conference,23 March 2016,1 - Complete terms,2 - Complete terms,"['virtual reality', 'virtual environment', 'VR']",['multi-user']
/doi/10.1145/2407336.2407363,ACM,CaveUDK: a VR game engine middleware,"Previous attempts at developing immersive versions of game engines have faced difficulties in achieving both overall high performance and preserving reusability of software developments. In this paper, we present a high-level VR middleware based on one of the most successful commercial game engines: the Unreal® Engine 3.0 (UE3). We describe a VR framework implemented as an extension to the Unreal® Development Kit (UDK) supporting CAVE""-like installations. Our approach relies on a distributed architecture reinforced by specific replication patterns to synchronize the user's point of view and interactions within a multi-screen installation. Our performance benchmarks indicated that our immersive port does not affect the game engine performance, even with complex real-time applications, such as fast-paced multiplayer First Person Shooter (FPS) games or high-resolution graphical environments with 2M+ polygons. A user study also demonstrated the capacity of our VR middleware to elicit high spatial presence while maintaining low cybersickness effects. With free distribution, we believe such a platform can support future Entertainment and VR research.","framework, game engine, immersive display, replication, virtual reality",VRST '12: Proceedings of the 18th ACM symposium on Virtual reality software and technology,10 December 2012,1 - Complete terms,900 - No match,"['virtual reality', 'virtual environment', 'VR']",[]
